horizon,epoch,rmse
6,1,0.3593225407588156
6,2,0.2749423194179254
6,3,0.23111764888427347
6,4,0.2044316747710843
6,5,0.19178463241487742
6,6,0.1805834238629417
6,7,0.17388386506957476
6,8,0.16715474042361955
6,9,0.1611996629254708
6,10,0.1582564632346518
6,11,0.15613526076622666
6,12,0.15154479235832685
6,13,0.15019869551255682
6,14,0.15078962320794545
6,15,0.14828483846008964
6,16,0.1450028415646512
6,17,0.14374067660217615
6,18,0.14461591680548105
6,19,0.1444214242377047
6,20,0.14130972022798519
6,21,0.1401160752056624
6,22,0.13805415298319973
6,23,0.13716582105429065
6,24,0.1351885509397791
6,25,0.13340299369285463
6,26,0.13524681752471396
6,27,0.1332641561530004
6,28,0.13899161592117476
6,29,0.13394614463822263
6,30,0.13149182456761482
6,31,0.12948216003468185
6,32,0.13313730260234652
6,33,0.1367689343268853
6,34,0.12677582996647885
6,35,0.12710257925130578
6,36,0.1305261720303506
6,37,0.13030439955095566
6,38,0.1300518411655928
6,39,0.1282453688642142
6,40,0.12754675554207567
6,41,0.12686590553783958
6,42,0.12792856157420823
6,43,0.1275900254289511
6,44,0.12911855057043592
6,45,0.1271889459061284
6,46,0.13045153031211262
6,47,0.13250244955977725
6,48,0.12632884087052987
6,49,0.123762421250633
6,50,0.12489319239849736
6,51,0.12866947974738066
6,52,0.12246554525215846
6,53,0.12247375590686274
6,54,0.12727015093928268
6,55,0.12503825077022462
6,56,0.12572902277236936
6,57,0.12623190531664188
6,58,0.12301914048758564
6,59,0.12663091123059583
6,60,0.12487381337141382
12,1,0.3717582467575251
12,2,0.28591042406858064
12,3,0.2404439249598442
12,4,0.21692160523054754
12,5,0.20348077398483597
12,6,0.19400057482960406
12,7,0.18507303243914677
12,8,0.1772704466434856
12,9,0.17306074981719546
12,10,0.16617936521779847
12,11,0.1670864729662836
12,12,0.16109811636035007
12,13,0.15770094524792172
12,14,0.15810761870071863
12,15,0.15234926127259274
12,16,0.15408390636146171
12,17,0.1581711379025562
12,18,0.15094348018498668
12,19,0.1509514558969599
12,20,0.1467510183185543
12,21,0.14384681296615603
12,22,0.14478704950137675
12,23,0.1453790301561233
12,24,0.14583118252862426
12,25,0.14339440269046305
12,26,0.14473124048748606
12,27,0.13922721029801904
12,28,0.13935214555816705
12,29,0.14111890012526876
12,30,0.14017989915318915
12,31,0.13893794698487216
12,32,0.14185786135171086
12,33,0.14823945391771204
12,34,0.13901317881128536
12,35,0.13247700483466068
12,36,0.13540687269329618
12,37,0.132840551136957
12,38,0.1330839254311537
12,39,0.13782820191619524
12,40,0.12888505623616192
12,41,0.1359986835794015
12,42,0.13457138092615162
12,43,0.1360529365191824
12,44,0.12885245065270148
12,45,0.12922841552910025
12,46,0.1366167353358926
12,47,0.13210511292372387
12,48,0.13573387808770898
12,49,0.12959497868498393
12,50,0.134870810270147
12,51,0.13654000681403597
12,52,0.13329253328398288
12,53,0.13422591338210538
12,54,0.13310139831385132
12,55,0.1267862377033155
12,56,0.13144639710521586
12,57,0.13625185756251645
12,58,0.13455907649748813
12,59,0.13194011310920165
12,60,0.13366309837937904
18,1,0.3826693188866929
18,2,0.29158857852006786
18,3,0.24500232165257102
18,4,0.21795850094937314
18,5,0.2009139830135399
18,6,0.1879667072026291
18,7,0.179699437352775
18,8,0.17820902811981904
18,9,0.17089649569495585
18,10,0.16811124942734673
18,11,0.15984518669135114
18,12,0.15529524621826882
18,13,0.15754961360780387
18,14,0.1520745745408558
18,15,0.1533566011234382
18,16,0.14977220082756793
18,17,0.15307624809775447
18,18,0.15400563871189407
18,19,0.14546987699155567
18,20,0.1438284535289082
18,21,0.14119912990656558
18,22,0.1445655796572911
18,23,0.14383372744742182
18,24,0.14517707342217168
18,25,0.14082889600104925
18,26,0.13654938551442147
18,27,0.134851178574273
18,28,0.13976470527884222
18,29,0.13969213194987157
18,30,0.13906734494302722
18,31,0.14034579583146603
18,32,0.13427058626579702
18,33,0.13135098513788773
18,34,0.13257709687654884
18,35,0.13467772634272868
18,36,0.13118966334435586
18,37,0.1312356121656964
18,38,0.13319082811785338
18,39,0.13345505565577384
18,40,0.13396335250963506
18,41,0.13278115987145564
18,42,0.1352827308933042
18,43,0.13216300369802486
18,44,0.1291681616166344
18,45,0.1387460338243129
18,46,0.12792339347928325
18,47,0.12891261462382367
18,48,0.13333635332110283
18,49,0.12558441234222095
18,50,0.13248887043849
18,51,0.1290452156575127
18,52,0.1295722852713578
18,53,0.13024555602438817
18,54,0.1284025556434913
18,55,0.126449866695712
18,56,0.13275205494160688
18,57,0.12784358952355715
18,58,0.1261896907866932
18,59,0.1251635346258186
18,60,0.12473055237736753
24,1,0.380538061144685
24,2,0.2945964807532439
24,3,0.2444302947172469
24,4,0.21600804598546056
24,5,0.191113729060164
24,6,0.18033040451460114
24,7,0.1778111664662924
24,8,0.1659508750340029
24,9,0.16937563169584405
24,10,0.15680699654741892
24,11,0.15920108859279367
24,12,0.15668680297165738
24,13,0.15391157803439154
24,14,0.14948892229310715
24,15,0.14914540993343695
24,16,0.1497391299918126
24,17,0.14819552312768158
24,18,0.14266725595262628
24,19,0.1493532417109283
24,20,0.14173060638340132
24,21,0.141269635695222
24,22,0.1415501673144753
24,23,0.13829274815953702
24,24,0.13410787891159576
24,25,0.1387066275503585
24,26,0.13307886940020608
24,27,0.13133128403234348
24,28,0.13432412328874474
24,29,0.1365153564444997
24,30,0.1292768374311249
24,31,0.1387834158650102
24,32,0.12834790400589718
24,33,0.13158591579091156
24,34,0.13474961029982474
24,35,0.13224888219804704
24,36,0.12726755955579314
24,37,0.12735355520269945
24,38,0.13176062116647735
24,39,0.1286693745900343
24,40,0.12618212049119312
24,41,0.12541706741067385
24,42,0.1288093912668354
24,43,0.12641190030429478
24,44,0.13206948653721443
24,45,0.12822538971904637
24,46,0.12630635989322814
24,47,0.12680944262458504
24,48,0.12622892086338475
24,49,0.12730120346521964
24,50,0.12564086802174548
24,51,0.12383091506053495
24,52,0.11936306335765105
24,53,0.12179120605893824
24,54,0.11986716299653498
24,55,0.12505522640472247
24,56,0.12623495401055623
24,57,0.11914527750060805
24,58,0.12892246635078894
24,59,0.12214471593625637
24,60,0.12440026135729981
