horizon,epoch,mse
6,1,0.1334426002401226
6,2,0.07707098955815693
6,3,0.05537103861570358
6,4,0.04473533896061609
6,5,0.03879949942512332
6,6,0.03422328573212309
6,7,0.032045426198615216
6,8,0.029002324414421927
6,9,0.02734798052400913
6,10,0.02610247160466212
6,11,0.024774222898314584
6,12,0.02365143930996364
6,13,0.023328791003463405
6,14,0.022833475913360435
6,15,0.02280612957646262
6,16,0.02210240459667062
6,17,0.02109354945286265
6,18,0.020814523838882177
6,19,0.02037555067184961
6,20,0.020748042448792817
6,21,0.020664863358691055
6,22,0.01915397045184981
6,23,0.020059761679116286
6,24,0.019321297102098196
6,25,0.019020150187161734
6,26,0.017651958496503112
6,27,0.018461023228910734
6,28,0.019656555691979966
6,29,0.019446676315845183
6,30,0.018124666135266143
6,31,0.01853919454481242
6,32,0.018281264125176194
6,33,0.019182707165490906
6,34,0.018182378578579652
6,35,0.01689608504046809
6,36,0.017720751640088152
6,37,0.01662173793422726
6,38,0.01646969407656283
6,39,0.016318815250722866
6,40,0.017560533160027467
6,41,0.016586477587104968
6,42,0.01553457630973942
6,43,0.01587656433781925
6,44,0.01637889395626086
6,45,0.014930974762394742
6,46,0.016963373043767688
6,47,0.016382322207374393
6,48,0.015899853148269204
6,49,0.016883540722840238
6,50,0.015284108982052444
6,51,0.01578549344865781
6,52,0.015990225844225794
6,53,0.016369513815866328
6,54,0.015811511297833244
6,55,0.015673756845436006
6,56,0.01571603637750981
6,57,0.015446675431756478
6,58,0.01462557184386928
6,59,0.015420891432407892
6,60,0.015235442738488035
12,1,0.13777675479650497
12,2,0.08247697210082641
12,3,0.06024080744156471
12,4,0.04924571284881005
12,5,0.04376419776907334
12,6,0.03746122895525052
12,7,0.03445260112102215
12,8,0.03470616744687924
12,9,0.030504626866716605
12,10,0.029124627749507245
12,11,0.02784545963200239
12,12,0.025674274191260338
12,13,0.0244003593061979
12,14,0.025086350452441435
12,15,0.024703486177783746
12,16,0.024752347801740352
12,17,0.023919384066875164
12,18,0.024815440464478273
12,19,0.02141115341622096
12,20,0.022276574315933082
12,21,0.022074201359198645
12,22,0.020976850046561316
12,23,0.02093870035157754
12,24,0.020970176475552414
12,25,0.020066632674290583
12,26,0.021341514845307056
12,27,0.019783250557688568
12,28,0.020302093372895166
12,29,0.019965770152898934
12,30,0.01926152164546343
12,31,0.019012209887687977
12,32,0.018405316397547722
12,33,0.01854437618301465
12,34,0.019177001972611133
12,35,0.019294706388161734
12,36,0.018076186139996234
12,37,0.01891300927561063
12,38,0.0194985678849312
12,39,0.017780536929002173
12,40,0.01751121463110814
12,41,0.017724927371511094
12,42,0.01810065212731178
12,43,0.01876204475187338
12,44,0.018023576014317
12,45,0.018869023483533125
12,46,0.018848157487809658
12,47,0.019017456385951776
12,48,0.01742120273411274
12,49,0.018348508442823704
12,50,0.017265392753940362
12,51,0.018560488493396685
12,52,0.016778671111051854
12,53,0.018285037949681282
12,54,0.01720190463730922
12,55,0.01723902629545102
12,56,0.01663034624205186
12,57,0.018335439837895907
12,58,0.0185883639810177
12,59,0.016040575618927296
12,60,0.01705313051262727
18,1,0.13760744611609657
18,2,0.0806961143916508
18,3,0.05813195992190883
18,4,0.04603132577437275
18,5,0.039269039091074244
18,6,0.037213450192280534
18,7,0.03504661670973841
18,8,0.03172092568480744
18,9,0.02869211994814423
18,10,0.027977575108690082
18,11,0.02655394326122302
18,12,0.025437173099731498
18,13,0.025238750432178658
18,14,0.023412624268599275
18,15,0.02438824145861392
18,16,0.02224233806273847
18,17,0.02112291623258366
18,18,0.021858223731506546
18,19,0.02070975848385748
18,20,0.02094343880999763
18,21,0.021957775718479785
18,22,0.02206209403866867
18,23,0.020812027718660968
18,24,0.020982492679976067
18,25,0.018953329655078222
18,26,0.019120045041419426
18,27,0.01938480001716119
18,28,0.01839401478053264
18,29,0.018096113155754108
18,30,0.01966265968556674
18,31,0.018594537211476633
18,32,0.017580822848205297
18,33,0.0184294933558635
18,34,0.018210515485338447
18,35,0.019053118074980547
18,36,0.01909696802778064
18,37,0.018699647226142434
18,38,0.0184162659746296
18,39,0.019045815855826972
18,40,0.01944269999018255
18,41,0.017230758215037157
18,42,0.01717930758055651
18,43,0.01790911166594838
18,44,0.018219284502402792
18,45,0.017975290833076217
18,46,0.01688812363822505
18,47,0.017347713510664005
18,48,0.01769973780467825
18,49,0.017159186830779292
18,50,0.016506195279224863
18,51,0.01672324524173197
18,52,0.01720089296687324
18,53,0.01683613401398344
18,54,0.01789865352845979
18,55,0.016865655885271308
18,56,0.01791390267042619
18,57,0.017123288334400025
18,58,0.017155642463070043
18,59,0.015491470483676443
18,60,0.016191988199386956
24,1,0.17556698339165383
24,2,0.09674153027107131
24,3,0.06858156480879155
24,4,0.050510451549066686
24,5,0.03985800861187701
24,6,0.0354778564904096
24,7,0.03232776883216399
24,8,0.028538454499728274
24,9,0.025640093493011763
24,10,0.0244072565352017
24,11,0.02477315989024234
24,12,0.024210907237709692
24,13,0.02259587106417935
24,14,0.02295094531662059
24,15,0.02051620238091586
24,16,0.02125738037504115
24,17,0.021816392657610605
24,18,0.020843093055036833
24,19,0.021003940581994236
24,20,0.019746332482065795
24,21,0.01821266329091675
24,22,0.02051426596798987
24,23,0.01820703423669878
24,24,0.019452247768640518
24,25,0.019446221162688057
24,26,0.01970192997382497
24,27,0.01867770368479333
24,28,0.018039314111448684
24,29,0.017844570168065576
24,30,0.017091258516851462
24,31,0.017133209502921916
24,32,0.017192400781051168
24,33,0.01821430526533217
24,34,0.017295734043110092
24,35,0.016510444218819996
24,36,0.01682794153830915
24,37,0.017470858709992102
24,38,0.01618907927482758
24,39,0.017111232627253486
24,40,0.016787158079304785
24,41,0.016074216450160404
24,42,0.01599530742134688
24,43,0.015610828415824557
24,44,0.01725413460495337
24,45,0.015986748795323778
24,46,0.015979769411233236
24,47,0.014946413490007509
24,48,0.01658839149014005
24,49,0.01558939792778132
24,50,0.015391518678164707
24,51,0.016876573445943167
24,52,0.01669248787440219
24,53,0.015737366089421622
24,54,0.01668604733949562
24,55,0.01666075289952305
24,56,0.01577908254035239
24,57,0.016224901947491575
24,58,0.014620481181960061
24,59,0.015364998863693679
24,60,0.014899994738681137
