horizon,epoch,mse
24,1,0.17556698339165383
24,2,0.09674153027107131
24,3,0.06858156480879155
24,4,0.050510451549066686
24,5,0.03985800861187701
24,6,0.0354778564904096
24,7,0.03232776883216399
24,8,0.028538454499728274
24,9,0.025640093493011763
24,10,0.0244072565352017
24,11,0.02477315989024234
24,12,0.024210907237709692
24,13,0.02259587106417935
24,14,0.02295094531662059
24,15,0.02051620238091586
24,16,0.02125738037504115
24,17,0.021816392657610605
24,18,0.020843093055036833
24,19,0.021003940581994236
24,20,0.019746332482065795
24,21,0.01821266329091675
24,22,0.02051426596798987
24,23,0.01820703423669878
24,24,0.019452247768640518
24,25,0.019446221162688057
24,26,0.01970192997382497
24,27,0.01867770368479333
24,28,0.018039314111448684
24,29,0.017844570168065576
24,30,0.017091258516851462
24,31,0.017133209502921916
24,32,0.017192400781051168
24,33,0.01821430526533217
24,34,0.017295734043110092
24,35,0.016510444218819996
24,36,0.01682794153830915
24,37,0.017470858709992102
24,38,0.01618907927482758
24,39,0.017111232627253486
24,40,0.016787158079304785
24,41,0.016074216450160404
24,42,0.01599530742134688
24,43,0.015610828415824557
24,44,0.01725413460495337
24,45,0.015986748795323778
24,46,0.015979769411233236
24,47,0.014946413490007509
24,48,0.01658839149014005
24,49,0.01558939792778132
24,50,0.015391518678164707
24,51,0.016876573445943167
24,52,0.01669248787440219
24,53,0.015737366089421622
24,54,0.01668604733949562
24,55,0.01666075289952305
24,56,0.01577908254035239
24,57,0.016224901947491575
24,58,0.014620481181960061
24,59,0.015364998863693679
24,60,0.014899994738681137
