horizon,epoch,rmse
6,1,0.3593225407588156
6,2,0.2749423194179254
6,3,0.23111764888427347
6,4,0.2044316747710843
6,5,0.19178463241487742
6,6,0.1805834238629417
6,7,0.17388386506957476
6,8,0.16715474042361955
6,9,0.1611996629254708
6,10,0.1582564632346518
6,11,0.15613526076622666
6,12,0.15154479235832685
6,13,0.15019869551255682
6,14,0.15078962320794545
6,15,0.14828483846008964
6,16,0.1450028415646512
6,17,0.14374067660217615
6,18,0.14461591680548105
6,19,0.1444214242377047
6,20,0.14130972022798519
6,21,0.1401160752056624
6,22,0.13805415298319973
6,23,0.13716582105429065
6,24,0.1351885509397791
6,25,0.13340299369285463
6,26,0.13524681752471396
6,27,0.1332641561530004
6,28,0.13899161592117476
6,29,0.13394614463822263
6,30,0.13149182456761482
6,31,0.12948216003468185
6,32,0.13313730260234652
6,33,0.1367689343268853
6,34,0.12677582996647885
6,35,0.12710257925130578
6,36,0.1305261720303506
6,37,0.13030439955095566
6,38,0.1300518411655928
6,39,0.1282453688642142
6,40,0.12754675554207567
6,41,0.12686590553783958
6,42,0.12792856157420823
6,43,0.1275900254289511
6,44,0.12911855057043592
6,45,0.1271889459061284
6,46,0.13045153031211262
6,47,0.13250244955977725
6,48,0.12632884087052987
6,49,0.123762421250633
6,50,0.12489319239849736
6,51,0.12866947974738066
6,52,0.12246554525215846
6,53,0.12247375590686274
6,54,0.12727015093928268
6,55,0.12503825077022462
6,56,0.12572902277236936
6,57,0.12623190531664188
6,58,0.12301914048758564
6,59,0.12663091123059583
6,60,0.12487381337141382
