horizon,epoch,ssim
6,1,0.8820666906968603
6,2,0.9232898568207363
6,3,0.942526529420097
6,4,0.9515356117824338
6,5,0.9587461813440863
6,6,0.9635538065208579
6,7,0.966252992737968
6,8,0.9693794880273208
6,9,0.9710902717878234
6,10,0.9723953480990428
6,11,0.9733886538811449
6,12,0.974399485678043
6,13,0.9762318449200325
6,14,0.9775629043579102
6,15,0.9772392488875479
6,16,0.9769693410621499
6,17,0.9790064163927762
6,18,0.9788456323011866
6,19,0.9804327173053093
6,20,0.9814051682094358
6,21,0.9801838173056548
6,22,0.9832451208582464
6,23,0.9819323251832206
6,24,0.9809911296052752
6,25,0.981617234787851
6,26,0.9827739697582317
6,27,0.9817307940069234
6,28,0.9832487196292518
6,29,0.9813977097565273
6,30,0.9824672555023769
6,31,0.9843958818687583
6,32,0.9832296821306337
6,33,0.9847678058552292
6,34,0.9830316147714291
6,35,0.9841634282525981
6,36,0.9821766727375534
6,37,0.9828035606528228
6,38,0.9850254238776441
6,39,0.9843048329623241
6,40,0.9842282061306935
6,41,0.9847571714869086
6,42,0.9831803879647885
6,43,0.9848684274925376
6,44,0.9844656620385512
6,45,0.9855993018960053
6,46,0.983540211083754
6,47,0.9850239573784594
6,48,0.9844282798047336
6,49,0.9831957097323436
6,50,0.9834558828821722
6,51,0.9826494972660856
6,52,0.9845502241602484
6,53,0.9834625675993146
6,54,0.9844980059929613
6,55,0.9838269701543844
6,56,0.983334739253206
6,57,0.9835743094390293
6,58,0.9846111603502957
6,59,0.9846652318846505
6,60,0.9848058718555378
12,1,0.8549624543923598
12,2,0.9114754016582782
12,3,0.9350463289480943
12,4,0.9471717889492328
12,5,0.9575292055423443
12,6,0.961523725436284
12,7,0.9646730698071994
12,8,0.9690300593009362
12,9,0.9708668543742254
12,10,0.9714118838310242
12,11,0.974577573629526
12,12,0.9753190370706412
12,13,0.9759302735328674
12,14,0.9765420739467328
12,15,0.9771135266010578
12,16,0.9789126561238215
12,17,0.9769271016120911
12,18,0.9794056232158954
12,19,0.9790041675934424
12,20,0.9800736124698932
12,21,0.9771809165294354
12,22,0.9792835804132315
12,23,0.9800631587321942
12,24,0.981239759005033
12,25,0.9813426091120794
12,26,0.9812552287028387
12,27,0.9784802473508395
12,28,0.9808192619910607
12,29,0.9798389948331393
12,30,0.9796915237720196
12,31,0.9809485261256878
12,32,0.9781245726805466
12,33,0.9824395363147442
12,34,0.9812444173372709
12,35,0.9826624164214501
12,36,0.9827761008189275
12,37,0.9830699608876154
12,38,0.9832114898241483
12,39,0.9842161215268649
12,40,0.982490782554333
12,41,0.9839658691332891
12,42,0.9803112470186673
12,43,0.9806980628233689
12,44,0.9846033912438613
12,45,0.9845780959496131
12,46,0.9814281830420861
12,47,0.9832221544705905
12,48,0.9834311879598178
12,49,0.9834698667893043
12,50,0.979511361855727
12,51,0.9839050403008094
12,52,0.9814872925098126
12,53,0.9820528488892776
12,54,0.9836163979310256
12,55,0.9833586536920987
12,56,0.9837218523025513
12,57,0.9823407851732694
12,58,0.9827244602716886
12,59,0.9846691901867206
12,60,0.9812027903703543
18,1,0.8830752462710975
18,2,0.9268305436620172
18,3,0.9482321559258227
18,4,0.958271602414689
18,5,0.9645101619216631
18,6,0.9687233870884158
18,7,0.9723143217698583
18,8,0.9725816654709151
18,9,0.9748946315837357
18,10,0.9759731202755334
18,11,0.9771053476153679
18,12,0.9787895544519964
18,13,0.9776779210792398
18,14,0.9784503792816738
18,15,0.9799561590518592
18,16,0.9805653140229998
18,17,0.9792088202710422
18,18,0.9816106310430562
18,19,0.9801016303728212
18,20,0.9808874310187574
18,21,0.9825133557589549
18,22,0.9800738928452978
18,23,0.9829055138354031
18,24,0.9835464729453033
18,25,0.9827285712619998
18,26,0.9832185439343722
18,27,0.9807975247221173
18,28,0.9828252072604198
18,29,0.9822433759581368
18,30,0.9827641811010972
18,31,0.9832498712359734
18,32,0.9849150585678389
18,33,0.9843874427507509
18,34,0.9821388136665776
18,35,0.9834514383999806
18,36,0.9848311532218501
18,37,0.9838377574704728
18,38,0.9840676559592193
18,39,0.9836119435868174
18,40,0.9860088780241193
18,41,0.9829717852034658
18,42,0.9837705504219487
18,43,0.9856206336111393
18,44,0.9859350222461628
18,45,0.9859327280296469
18,46,0.9864140186669692
18,47,0.9842846258631293
18,48,0.9858729524432488
18,49,0.9844810917692365
18,50,0.9859379372506771
18,51,0.9856511691831192
18,52,0.9848342571618423
18,53,0.9869039013700666
18,54,0.9867076154025096
18,55,0.9830741612416394
18,56,0.9857302161882509
18,57,0.981812171216281
18,58,0.9859996561734181
18,59,0.9861787939971348
18,60,0.9854125076869749
24,1,0.8663771647327351
24,2,0.9320980827763395
