horizon,mse,rmse,ssim
6,1.0,1.0,1.0
12,0.8828749901783609,0.9396059621025925,1.0178110129163833
18,0.7623359786281134,0.8731269325299293,1.0380693405846362
24,0.7460556297634949,0.863751684769682,1.0394289598912303
